"","key","country","site","cluster","plot","siteid","longitude","latitude","year","plotcultmgd","postoposeq","vegstructure","severeero","rdr50","trees","shrubs","cropland","forest","grassland","wooded_grassland","grasslandall","bushland","shrubland","wetland","dom_landuse"
"1","uuid:1fda87b7-607f-4826-8e16-8b7b7125194e","sri_lanka","kandy",1,1,"kandy_1_1",80.8061,7.3099,2024,1,"footslope","forest",0,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"2","uuid:0c35ccec-115e-411a-a072-ca3fb551221b","sri_lanka","kandy",1,3,"kandy_1_3",80.8021,7.31242,2024,0,"footslope","bushland",0,1,1,1,0,0,0,0,0,1,0,0,"other"
"3","uuid:285e4c57-17e8-4824-be75-64632e1edecb","sri_lanka","kandy",1,4,"kandy_1_4",80.8032,7.31536,2024,1,"midslope","woodland",1,1,1,1,0,0,0,0,0,0,0,0,"perennial_agroforestry"
"4","uuid:aff8a8d7-c955-4442-815f-f2e453ba02b3","sri_lanka","kandy",1,7,"kandy_1_7",80.8038,7.3176,2024,1,"midslope","woodland",1,0,1,1,0,0,0,0,0,0,0,0,"perennial_agroforestry"
"5","uuid:643bcd0f-a632-4d35-8aea-43601a283c50","sri_lanka","kandy",1,8,"kandy_1_8",80.8027,7.31357,2024,1,"midslope","cropland",0,0,0,0,1,0,0,0,0,0,0,0,"annual_crop"
"6","uuid:56e46d4c-0f01-4884-b515-7e6ecb93ddd9","sri_lanka","kandy",1,9,"kandy_1_9",80.8026,7.31241,2024,0,"footslope","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"7","uuid:1de0f2cc-caf5-4baa-a97a-1ee5ee38df1b","sri_lanka","kandy",1,10,"kandy_1_10",80.8018,7.31081,2024,1,"midslope","cropland",0,0,0,0,1,0,0,0,0,0,0,0,"annual_crop"
"8","uuid:72b7d1dc-cb16-4281-9d8e-5833423391cc","sri_lanka","kandy",1,12,"kandy_1_12",80.8057,7.31083,2024,1,"midslope","woodland",1,1,1,1,0,0,0,0,0,0,0,0,"perennial_agroforestry"
"9","uuid:7a342db6-f23b-461a-8f0f-f5fd81abcceb","sri_lanka","kandy",1,13,"kandy_1_13",80.8055,7.3097,2024,1,"footslope","cropland",0,1,1,1,1,0,0,0,0,0,0,0,"annual_agroforestry"
"10","uuid:5099813e-a0b1-4f72-92aa-eddac6c8d71f","sri_lanka","kandy",1,14,"kandy_1_14",80.8022,7.31621,2024,1,"midslope","forest",1,0,1,1,0,1,0,0,0,0,0,0,"other"
"11","uuid:f9fddb2c-0c8a-46d0-8ad4-4bdb17102563","sri_lanka","kandy",2,2,"kandy_2_2",80.8078,7.33529,2024,1,"midslope","woodland",0,0,1,0,0,0,0,0,0,0,0,0,"woodlot"
"12","uuid:9133e0fa-365f-419f-8996-f91795630a09","sri_lanka","kandy",2,3,"kandy_2_3",80.8115,7.33864,2024,1,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"13","uuid:5cfc91f2-3255-46e4-8652-75c2eb43dbb3","sri_lanka","kandy",2,4,"kandy_2_4",80.8091,7.33624,2024,1,"midslope","woodland",1,0,1,0,0,0,0,0,0,0,0,0,"woodlot"
"14","uuid:8db3b433-c729-4a44-893a-7106cdd67804","sri_lanka","kandy",2,5,"kandy_2_5",80.8094,7.33931,2024,1,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"15","uuid:13c856ee-8665-41dc-8607-3a11a7960610","sri_lanka","kandy",2,6,"kandy_2_6",80.8114,7.33837,2024,1,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"16","uuid:c8c90467-74e9-455f-a407-37b962685cf6","sri_lanka","kandy",2,7,"kandy_2_7",80.8074,7.33336,2024,1,"midslope","woodland",1,1,1,0,0,0,0,0,0,0,0,0,"woodlot"
"17","uuid:9a6b7430-ab6f-426f-841b-7ba211ea20ec","sri_lanka","kandy",2,8,"kandy_2_8",80.8114,7.33757,2024,0,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"other"
"18","uuid:b7396b14-de5e-40b6-bc24-162724f778a2","sri_lanka","kandy",2,11,"kandy_2_11",80.8076,7.33932,2024,1,"midslope","shrubland",1,1,1,0,0,0,0,0,0,0,1,0,"perennial_crop"
"19","uuid:583b8e34-5139-4d9c-b744-2054d5145aa5","sri_lanka","kandy",2,12,"kandy_2_12",80.8057,7.33314,2024,0,"midslope","grassland",1,1,0,0,0,0,1,0,1,0,0,0,"other"
"20","uuid:d52eea44-3856-441d-b1b9-6aaa74a5cbaa","sri_lanka","kandy",2,15,"kandy_2_15",80.8119,7.33933,2024,0,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"other"
"21","uuid:eeae4891-61e4-477a-874f-1f967a027919","sri_lanka","kandy",3,4,"kandy_3_4",80.8115,7.35025,2024,1,"midslope","shrubland",1,0,0,0,0,0,0,0,0,0,1,0,"perennial_crop"
"22","uuid:ad2b62a4-ec77-419c-835c-24b22102142f","sri_lanka","kandy",3,5,"kandy_3_5",80.8053,7.34974,2024,1,"ridge_crest","shrubland",1,0,0,0,0,0,0,0,0,0,1,0,"perennial_crop"
"23","uuid:b9034c8b-0eb3-4e31-935f-2b4f9943b28e","sri_lanka","kandy",3,7,"kandy_3_7",80.8089,7.35133,2024,1,"upland","grassland",1,1,1,0,0,0,1,0,1,0,0,0,"other"
"24","uuid:983fe52a-67e2-4107-bf07-0d305cb7ccfa","sri_lanka","kandy",3,8,"kandy_3_8",80.8113,7.35615,2024,1,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"25","uuid:32a20ed7-245e-47cf-913f-cbfa71ec4008","sri_lanka","kandy",3,9,"kandy_3_9",80.8056,7.3559,2024,1,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"26","uuid:79ea509c-6a94-46d6-920c-e533a5e3a5cf","sri_lanka","kandy",3,11,"kandy_3_11",80.8081,7.35541,2024,0,"midslope","grassland",1,0,1,1,0,0,1,0,1,0,0,0,"other"
"27","uuid:59a4592a-538c-4a18-99c9-54d60b47f227","sri_lanka","kandy",3,12,"kandy_3_12",80.8042,7.35267,2024,1,"midslope","shrubland",1,0,0,0,0,0,0,0,0,0,1,0,"perennial_crop"
