key,country,site,cluster,plot,siteid,longitude,latitude,year,plotcultmgd,postoposeq,vegstructure,severeero,rdr50,trees,shrubs,cropland,forest,grassland,wooded_grassland,grasslandall,bushland,shrubland,wetland,dom_landuse,shheight,shlength,shwidth,scientificName,shrubspecies_common,key_1,subplot
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,2.8,2.9,2.5,Myristica fragrans,"sadikka, nut meg",uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_shrb_data[1],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,2.8,1.6,1.4,Gliricedia sepium,weta mara,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_shrb_data[1],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,2.5,2.3,2.3,Gliricedia sepium,weta mara,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_shrb_data[2],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,2.7,2.2,1.4,Gliricedia sepium,weta mara,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_shrb_data[3],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,2.0,1.6,1.3,Gliricedia sepium,weta mara,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_shrb_data[4],1
uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a,sri_lanka,matale,11,13,matale_11_13,80.6511,7.56372,2021,1,midslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.2,1.3,0.6,Gliricedia sepium,weta mara,uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a/supl1_shrb_data[1],1
uuid:c4cf09f4-b710-400f-aa3a-d7f675471106,sri_lanka,matale,14,14,matale_14_14,80.6602,7.54125,2021,1,footslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,1.7,1.0,0.7,Ficus exasperata,bi thediya,uuid:c4cf09f4-b710-400f-aa3a-d7f675471106/supl1_shrb_data[1],1
uuid:c4cf09f4-b710-400f-aa3a-d7f675471106,sri_lanka,matale,14,14,matale_14_14,80.6602,7.54125,2021,1,footslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.4,0.9,0.6,Gliricidia sepium,weta mara,uuid:c4cf09f4-b710-400f-aa3a-d7f675471106/supl1_shrb_data[2],1
uuid:c4cf09f4-b710-400f-aa3a-d7f675471106,sri_lanka,matale,14,14,matale_14_14,80.6602,7.54125,2021,1,footslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.0,0.6,0.6,Gliricidia sepium,weta mara,uuid:c4cf09f4-b710-400f-aa3a-d7f675471106/supl1_shrb_data[3],1
uuid:0bf2fbc7-831a-44ae-b8a6-cd53a340378a,sri_lanka,matale,15,2,matale_15_2,80.6728,7.566,2021,1,upland,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,1.8,1.0,0.7,Gliricidia sepium,weta mara,uuid:0bf2fbc7-831a-44ae-b8a6-cd53a340378a/supl1_shrb_data[1],1
uuid:0bf2fbc7-831a-44ae-b8a6-cd53a340378a,sri_lanka,matale,15,2,matale_15_2,80.6728,7.566,2021,1,upland,woodland,0,1,1,1,0,0,0,0,0,0,0,0,perennial_agroforestry,2.5,1.3,0.9,Gliricidia sepium,weta mara,uuid:0bf2fbc7-831a-44ae-b8a6-cd53a340378a/supl1_shrb_data[2],1
