key,country,site,cluster,plot,siteid,longitude,latitude,year,plotcultmgd,postoposeq,vegstructure,severeero,rdr50,trees,shrubs,cropland,forest,grassland,wooded_grassland,grasslandall,bushland,shrubland,wetland,dom_landuse,trheight,trcircumf,scientificName,treespecies_common,key_1,subplot
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,4.8,78.0,Cocos nucifera,pol,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[1],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,5.6,83.0,Musa x paradisiaca,"kesel, banana",uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[2],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,16.0,96.0,Cocos nucifera,pol,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[3],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,5.0,44.0,Gliricedia sepium,weta mara,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[4],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,4.5,45.0,Gliricedia sepium,weta mara,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[5],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,4.5,38.0,Gliricedia sepium,weta mara,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[6],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,4.8,32.0,Gliricedia sepium,weta mara,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[7],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,4.7,41.0,Gliricedia sepium,weta mara,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[8],1
uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac,sri_lanka,matale,8,2,matale_8_2,80.6243,7.58427,2021,1,bottomland,bushland,0,0,1,0,0,0,0,0,0,1,0,0,perennial_agroforestry,4.6,39.0,Gliricedia sepium,weta mara,uuid:a4fb1a40-1e45-41d0-b113-574c0f0679ac/supl1_tree_data[9],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,12.0,85.0,Cocos nucifera,pol,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_tree_data[1],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,14.0,144.0,Artocarpus heterophyllus,kos,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_tree_data[2],1
uuid:ccbb62e3-32f9-4057-874e-06243dc76316,sri_lanka,matale,3,6,matale_3_6,80.6126,7.56249,2021,1,midslope,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_agroforestry,4.0,20.0,Gliricedia sepium,weta mara,uuid:ccbb62e3-32f9-4057-874e-06243dc76316/supl1_tree_data[3],1
uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a,sri_lanka,matale,11,13,matale_11_13,80.6511,7.56372,2021,1,midslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,3.6,29.0,Gliricedia sepium,weta mara,uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a/supl1_tree_data[1],1
uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a,sri_lanka,matale,11,13,matale_11_13,80.6511,7.56372,2021,1,midslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,4.0,33.0,Gliricedia sepium,weta mara,uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a/supl1_tree_data[2],1
uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a,sri_lanka,matale,11,13,matale_11_13,80.6511,7.56372,2021,1,midslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,4.2,31.0,Gliricedia sepium,weta mara,uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a/supl1_tree_data[3],1
uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a,sri_lanka,matale,11,13,matale_11_13,80.6511,7.56372,2021,1,midslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,4.5,42.0,Gliricedia sepium,weta mara,uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a/supl1_tree_data[4],1
uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a,sri_lanka,matale,11,13,matale_11_13,80.6511,7.56372,2021,1,midslope,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,3.8,28.0,Gliricedia sepium,weta mara,uuid:bbafb93c-7b5b-431b-b6e6-8e73ad29f07a/supl1_tree_data[5],1
